Название_дисциплины,Название_департамента,курс,семестр,лекции,практические_занятия,лабораторные_работы,всего_часов_аудиторной,МАО,самостоятельая_работа,на_подготовку_к_экзамену,контрольные_работы,курсовая_работа,зачет,экзамен,цель_дисциплины,задачи_цисциплины,лекции
<<<<<<< HEAD
=======
praesentium,eius,6,2,7,10,9,5,5,9,3,9,6,10,1,fuga,"Mock Turtle replied; 'and then the Mock Turtle sang this, very slowly and sadly:-- '""Will you walk a little bit, and said 'That's very important,' the King in a low, weak voice. 'Now, I give it up,'.",sed
aut,ut,5,10,9,10,7,7,4,2,3,4,1,5,6,impedit,"I tell you, you coward!' and at last turned sulky, and would only say, 'I am older than you, and must know better'; and this was of very little use, as it was growing, and she drew herself up on to.",cupiditate
aut,labore,7,6,8,4,7,8,6,4,6,6,9,5,7,voluptate,"Duchess took no notice of her knowledge. 'Just think of nothing else to do, and perhaps as this before, never! And I declare it's too bad, that it might be hungry, in which you usually see.",quod
nesciunt,sapiente,1,4,3,4,3,8,1,7,10,7,8,5,3,in,"The Gryphon lifted up both its paws in surprise. 'What! Never heard of such a thing. After a time she went on for some minutes. The Caterpillar was the only difficulty was, that her neck would bend.",cum
consequatur,molestiae,3,3,9,5,3,3,1,10,4,9,3,1,2,fuga,"When the sands are all dry, he is gay as a lark, And will talk in contemptuous tones of her sharp little chin. 'I've a right to think,' said Alice a little recovered from the trees under which she.",repudiandae
non,tenetur,8,5,9,8,1,6,10,8,10,2,5,10,5,maiores,"Alice heard it say to itself 'Then I'll go round and round goes the clock in a tone of great relief. 'Call the next verse.' 'But about his toes?' the Mock Turtle, 'they--you've seen them, of.",veniam
eaque,quis,9,8,1,3,9,1,1,2,7,6,1,8,1,in,"Queen, and Alice, were in custody and under sentence of execution. Then the Queen say only yesterday you deserved to be managed? I suppose you'll be telling me next that you think I can creep under.",a
exercitationem,labore,9,10,6,8,3,10,4,5,7,8,4,8,8,numquam,"There was exactly the right size for going through the wood. 'It's the first day,' said the Rabbit's little white kid gloves: she took courage, and went on muttering over the edge of the hall; but.",sunt
et,mollitia,4,7,2,3,5,6,1,8,9,1,9,3,2,sit,"No, it'll never do to come down the middle, being held up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as.",quibusdam
aut,necessitatibus,7,4,6,6,4,10,4,2,10,1,9,9,2,asperiores,"Alice, 'Have you seen the Mock Turtle, capering wildly about. 'Change lobsters again!' yelled the Gryphon replied rather impatiently: 'any shrimp could have been a RED rose-tree, and we put a white.",consequatur
"моя первая компетенция",название,1,2,2,2,23,1,1,1,1,1,1,1,1,чтото,"чтотототото
",лекц
>>>>>>> trash
